country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
US,5612492,45.011871,-113.965897,Williams Lake Resort,33.8,69,20,1.83
FR,6433849,43.599998,-0.41667,Lacajunte,37.36,75,0,4.7
CZ,3067395,49.19949,14.21717,Protivin,31.64,89,24,10.78
AU,2170523,-26.16667,152.883331,Coondoo,72.91,98,92,13.85
CA,5897324,45.133381,-72.965843,Bedford,29.25,92,90,8.05
CA,6171923,44.805408,-76.626907,Ungava,32,83,90,10.29
US,4135865,35.146481,-90.18454,West Memphis,37.8,80,0,9.55
DE,2887776,51.742779,14.51573,Klinge,36.95,94,92,15.3
FR,2971399,45.750839,6.41611,Ugine,33.75,88,0,5.82
CN,1804714,34.718819,107.064453,Koujiahe,46.76,57,0,4.41
US,4340579,30.433531,-89.966743,Saint Tammany Parish,47.03,80,1,3.22
ES,6358657,43.165321,-4.9136,Posada de Valdeón,35.83,86,80,2.28
DE,6553101,52.376099,7.6059,Hopsten,40.06,86,75,11.41
BR,3395062,-3.38361,-57.718609,Maues,75.43,98,12,3.06
PT,8012371,39.901562,-8.83551,Monte Redondo,48.2,93,90,11.41
CA,6091530,45.000149,-62.99865,Nova Scotia,32,74,90,16.11
DE,2829568,50.783329,11.73333,Stanau,37.4,86,75,13.87
NL,2745297,52.169998,6.14167,Voorst,36.77,100,90,9.17
US,5052658,45.08469,-93.009941,White Bear Lake,13.3,85,1,3.36
US,4973402,44.079521,-69.485046,Nobleboro,29.86,92,90,16.11
FR,6428134,45.666672,-0.91667,Saujon,41.14,93,0,8.05
CA,6137052,71.984093,-125.2463,Sachs Harbour,7.93,83,88,18.72
RU,543436,54.038761,43.91386,Kovylkino,18.28,93,92,11.45
IN,1278625,9.98333,77.633331,Andippatti,84.2,51,20,3.36
IT,6538487,44.198971,12.40064,Cesenatico,37.33,93,0,4.7
IE,7778677,53.355122,-6.24922,Dublin City,33.03,100,40,9.17
US,4171061,26.49758,-82.07843,Saint James City,61.7,59,1,10.29
