country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
DE,2859641,48.666672,10.86667,Oberndorf,36.3,86,75,4.7
ES,6358587,42.557079,-6.7309,Carracedelo,33.49,100,92,2.28
AU,2162890,-33.369499,149.134293,Huntley,68.9,58,0,4.41
DE,2805208,54.057831,12.49223,Zarnewanz,32,96,75,4.7
DE,2839284,51.450001,12.93333,Schilderhain,38.64,93,75,9.17
FR,6456906,45.23333,3.48333,La Chomette,35.6,80,0,9.17
CN,7071797,29.998199,120.55912,Fushan,48.2,70,75,11.18
ZM,916978,-17.83333,25.85,Highlands,72.28,88,0,4.12
MM,1308464,16.383329,95.26667,Mawlamyinegyunn,93.38,55,0,4.41
BR,6323462,-29.909149,-50.953011,Gravataí,66.2,77,0,3.36
IE,2963283,52.209721,-7.42583,Kilmacthomas,38.89,99,20,21.74
CN,1797501,23.0681,114.01236,Qishi,55.4,87,90,11.18
FR,2987222,43.816341,5.74638,Pierrevert,33.78,74,0,1.12
PL,3083334,54.320381,19.526951,Tolkmicko,32,100,75,3.36
FR,3007696,48.75061,-3.28121,Langoat,43.81,93,92,11.41
RU,514670,46.650002,39.957199,Osenniy,47.03,98,92,11.79
DE,2840351,51.133331,13.5,Scharfenberg,41,75,75,9.17
DE,6556247,47.666698,11.0333,Saulgrub,34.7,86,75,16.11
SZ,934967,-27.183331,31.383329,Mhlosheni,69.89,76,36,3.11
BR,3446137,-29.516939,-50.777779,Tres Coroas,66.2,77,0,3.36
ES,3123106,41.60046,-1.28007,Epila,43.61,75,20,5.82
NL,2752611,51.370831,4.01389,Kloosterzande,37.04,86,75,6.93
DE,2837182,54.566669,9.68333,Scholderup,32,98,90,3.36
PL,3081330,49.958618,19.946541,Wrzasowice,30.2,92,8,1.12
NP,1283510,27.9,86.833336,Chukhung,16.48,79,0,0.87
HN,3615070,14.78333,-86.0,Arimis,69.8,83,20,2.24
DE,2940712,52.866119,12.81341,Buskow,35.6,93,75,2.24
ID,1621745,-8.6995,118.799103,Waworada,82.22,87,80,3.51
DE,2875107,51.616669,7.51667,Lunen,38.57,80,75,13.87
IT,3167182,46.463329,12.20056,San Vito di Cadore,33.8,77,0,8.05
CN,2034221,43.321789,129.763412,Wangqing,23.9,61,32,5.53
PA,3711009,8.61667,-80.599998,El Cope,74.3,88,12,12.39
AT,2779450,47.200001,14.68333,Fohnsdorf,33.82,95,12,1.12
RU,6283364,57.387222,41.3675,Gorki,5.14,76,0,11.79
FR,6440099,45.933331,2.58333,Montel-de-Gelat,35.6,90,0,9.17
ES,6534028,42.23011,2.82048,Cabanelles,37.09,86,0,3.36
MX,4017992,20.549999,-102.51667,Atotonilco el Alto,58.78,69,12,4.52
TH,7510968,17.162609,102.572723,Nong Wua So,89.6,52,48,5.82
DE,2820197,51.683331,11.36667,Ulzigerode,37.4,86,75,10.29
PH,1698542,11.7666,122.176498,Naili,81.5,100,20,10.6
DE,2861979,51.506672,10.75194,Landkreis Nordhausen,37.4,86,75,13.87
BR,3472603,-21.429171,-45.94722,Alfenas,66.79,97,80,3.51
ES,3124799,41.038689,-3.9186,Collado Hermoso,41,100,75,2.24
GB,2646355,50.93388,-0.18007,Hurstpierpoint,42.76,87,40,13.87
DE,2818067,53.683331,9.66667,Uetersen,33.8,94,92,3.36
CN,2038527,42.75946,127.800598,Baishuitan,22.78,48,0,5.35
KM,921703,-12.15556,44.437222,Patsi,83.21,100,80,19.33
